first_purchase_year;birth_year;gender;loyalty_store;id_customer
2006;1971;M;1204;11311
2017;1968;M;1204;11315
2015;1956;F;1261;11316
2016;1967;F;1251;11317
2020;1994;F;1252;11320
2013;1978;F;1201;11323
2002;1977;M;1018;11325
2002;1947;M;1206;11329
2013;1953;M;1261;11330
2013;1960;F;1262;11335
1993;1935;M;1202;11337
1994;1970;M;1201;11339
2010;1948;F;1250;11340
2003;1958;F;1018;11341
2016;1976;M;1202;11343
2017;1981;F;1202;11344
2004;1947;M;1208;11346
1987;1948;M;1201;11347
2014;1963;F;1250;11355
2011;1953;M;1203;11359
2015;1966;M;1208;11368
2002;1971;M;1202;11371
2013;1956;M;1261;11378
2001;1946;M;1095;11379
1992;1957;M;1252;11380
2012;1969;F;1205;11383
2014;1942;M;1250;11386
2017;1994;M;1252;11389
2017;1959;M;1202;11392
1998;1963;M;1203;11396
2003;1969;F;1206;11397
1999;1952;F;1204;11399
2019;1960;M;1261;11401
2008;1948;M;1201;11404
2014;1966;F;1261;11406
2011;1993;F;1250;11408
2013;1952;F;1262;11409
2015;1964;F;1262;11410
2012;1981;F;1201;11412
1998;1950;F;1202;11414
2002;1925;F;1201;11421
2002;1951;F;1206;11425
1987;1942;M;1216;11426
2013;1935;M;1201;11428
1997;1949;M;1201;11429
2013;1964;F;1262;11430
2011;1962;F;1018;11431
2013;1983;F;1251;11432
2013;1983;M;1202;11436
2003;1947;M;1207;11438
2013;1962;M;1261;11439
2001;1968;F;1206;11440
2015;1980;M;1204;11447
2013;1969;F;1201;11449
2001;1951;M;1252;11450
1999;1975;F;1203;11453
1999;1948;M;1204;11455
2013;1972;F;1262;11458
1972;1948;M;1203;11460
2004;1945;F;1206;11462
1996;1938;M;1202;11466
1997;1953;M;1203;11467
2017;1964;M;1201;11471
2013;1969;F;1262;11474
2014;1970;F;1262;11475
1999;1957;F;1203;11476
2008;1978;M;1202;11483
2014;1985;F;1251;11486
2014;1967;F;1261;11488
1999;1943;M;1216;11489
1998;1964;F;1018;11492
2005;1986;M;1021;11493
1972;1945;M;1203;11496
2016;1967;F;1204;11499
1999;1973;F;1203;11503
2020;1970;F;1262;11504
2002;1964;M;1252;11509
2019;1956;M;1201;11523
2015;1953;M;1202;11531
2001;1960;F;1206;11532
1999;1963;M;1208;11534
2012;1980;F;1202;11536
1998;1930;M;1204;11539
1989;1928;F;1045;11542
2008;1943;F;1206;11549
2003;1966;M;1208;11550
1994;1957;M;1202;11553
1999;1950;M;1252;11557
2017;1960;F;1018;11559
2018;1979;M;1262;11562
2003;1973;F;1208;11563
2020;1951;F;1262;11566
2018;1983;F;1204;11567
2018;1940;M;1204;11569
2013;1946;M;1262;11571
2013;1968;F;1262;11576
2004;1958;F;1207;11580
1992;1949;M;1202;11581
2004;1955;F;1216;11585
2013;1947;F;1262;11586
2013;1953;F;1261;11600
2006;1936;F;1252;11601
1997;1973;F;1203;11602
2012;1982;M;1216;11603
1985;1931;M;1252;11608
1985;1954;M;1018;11613
1991;1945;F;1216;11614
2014;1973;F;1261;11616
2002;1965;F;1207;11617
2013;1964;F;1207;11620
2003;1965;M;1207;11622
2017;1976;M;1261;11625
2014;1948;M;1216;11626
2013;1974;F;1261;11627
2015;1985;F;1262;11629
2009;1949;F;1018;11632
2014;1960;F;1203;11639
2011;1954;M;1204;11646
1999;1963;F;1201;11649
2019;2000;M;1252;11656
1993;1964;F;1018;11658
2014;1954;M;1203;11659
2006;1935;M;1202;11661
2002;1961;F;1207;11664
2013;1943;F;1261;11668
2004;1973;F;1208;11670
1998;1948;F;1018;11673
2013;1970;M;1262;11674
2016;1941;F;1206;11677
2018;1980;F;1252;11679
2011;1950;M;1216;11680
1993;1966;F;1201;11687
2005;1939;M;1208;11690
2013;1956;M;1205;11691
2018;1958;F;1262;11692
1997;1963;M;1208;11694
2019;1963;M;1251;11696
2013;1959;F;1262;11699
2014;1978;F;1261;11703
2017;1972;F;1262;11710
1999;1956;M;1250;11711
1989;1933;F;1201;11712
2011;1943;F;1208;11713
2017;1979;F;1252;11714
1984;1938;F;1201;11715
2002;1941;F;1207;11726
2006;1973;M;1203;11742
2016;1969;F;1252;11746
2013;1944;F;1261;11754
1998;1946;F;1018;11756
2000;1953;F;1216;11757
2010;1957;M;1033;11758
1990;1959;M;1094;11760
2002;1943;F;1207;11766
1997;1948;F;1035;11767
2000;1942;F;1095;11771
2002;1962;M;1202;11772
2018;1937;M;1262;11773
2013;1945;F;1261;11775
1995;1945;M;1203;11779
2015;1981;F;1261;11784
2015;1978;M;1208;11788
1995;1956;F;1204;11790
2015;1975;M;1204;11792
1998;1953;F;1035;11796
2004;1974;M;1203;11800
1996;1949;M;1208;11801
2003;1956;F;1038;11803
1992;1945;F;1202;11806
2019;1980;M;1251;11808
2020;1983;M;1201;11809
1986;1968;F;1035;11811
2014;1977;F;1261;11823
1988;1941;F;1201;11825
2019;1992;M;1261;11829
2015;1986;F;1261;11855
2017;1990;F;1251;11856
1991;1938;M;1201;11858
2017;1964;M;1206;11859
1999;1926;F;1202;11860
2000;1979;F;1203;11871
2014;1982;M;1206;11873
2001;1939;M;1204;11874
1997;1948;F;1203;11875
2003;1960;F;1201;11876
2018;1963;M;1207;11879
2014;1977;F;1262;11881
1995;1952;F;1033;11883
2014;1968;F;1251;11885
1997;1942;M;1201;11891
1992;1952;F;1250;11895
2012;1981;M;1205;11897
2009;1974;M;1203;11898
2013;1975;F;1261;11902
2000;1960;M;1203;11909
1985;1955;M;1203;11911
2011;1961;M;1207;11917
2011;1964;M;1208;11918
2002;1960;M;1035;11919
2017;1940;M;1205;11922
1995;1953;M;1201;11923
2000;1962;M;1203;11928
2012;1963;F;1207;11930
1989;1950;F;1009;11931
1988;1948;F;1216;11932
2020;1982;M;1204;11935
2013;1945;M;1261;11937
2014;1967;F;1262;11941
2013;1969;F;1261;11943
1985;1935;F;1201;11944
2017;1947;M;1206;11946
2020;1981;F;1216;11948
2005;1987;M;1201;11949
1993;1958;M;1203;11952
1994;1973;M;1201;11965
2017;1986;F;1262;11971
2008;1990;M;1203;11975
1994;1957;M;1202;11976
1983;1947;F;1216;11983
2005;1979;F;1201;11984
2002;1974;F;1208;11990
2013;1962;F;1262;11998
2003;1974;M;1201;12000
2000;1952;F;1205;12004
1991;1933;F;1201;12011
1994;1973;F;1204;12012
2019;1974;F;1261;12013
2001;1950;F;1201;12015
2003;1954;M;1208;12018
2002;1957;F;1206;12020
2021;1965;F;1208;12022
1997;1949;F;1203;12026
2014;1968;F;1261;12027
1998;1936;F;1204;12029
1999;1951;F;1201;12031
1988;1946;M;1201;12033
2001;1954;F;1206;12034
1999;1966;F;1203;12039
2015;1977;M;1208;12040
1997;1958;F;1203;12041
2008;1946;M;1202;12043
2003;1959;F;1208;12051
2003;1959;F;1201;12053
2013;1963;F;1207;12054
2002;1958;F;1207;12058
2003;1946;F;1202;12060
2014;1942;F;1207;12061
2004;1976;M;1207;12062
2019;1989;F;1206;12068
1998;1939;F;1202;12072
2003;1962;M;1207;12074
1995;1955;F;1095;12076
1999;1954;M;1208;12082
2014;1985;F;1206;12084
2012;1972;F;1251;12086
2005;1956;M;1206;12089
2013;1984;F;1261;12091
2015;1978;F;1261;12093
2015;1991;F;1261;12094
2000;1970;M;1203;12097
2020;1976;M;1262;12098
2011;1975;F;1250;12099
1998;1943;F;1202;12102
2011;1975;F;1203;12103
2016;1962;F;1262;12105
2009;1963;M;1035;12110
2001;1972;M;1203;12118
1992;1962;F;1033;12126
2007;1965;M;1206;12127
2001;1956;M;1206;12130
2013;1964;F;1262;12131
1993;1953;F;1202;12134
1991;1938;F;1018;12138
2004;1953;M;1207;12141
1985;1956;M;1203;12143
2014;1973;F;1262;12146
1999;1949;F;1201;12147
2013;1963;F;1261;12149
1985;1934;M;1018;12150
1991;1938;M;1201;12151
2011;1971;F;1251;12156
1999;1960;M;1205;12160
2013;1960;F;1261;12166
2013;1957;M;1208;12168
1972;1947;M;1203;12171
2003;1935;F;1202;12173
2018;1982;M;1207;12177
2010;1963;F;1208;12180
2015;1942;M;1203;12183
1999;1971;F;1201;12190
2016;1949;M;1207;12192
1994;1935;M;1202;12195
2014;1953;F;1216;12196
2012;1983;F;1208;12205
2010;1975;F;1203;12209
2009;1947;F;1208;12212
1999;1978;F;1203;12213
1985;1946;M;1018;12214
2020;1977;M;1261;12218
2017;1941;M;1204;12222
2007;1974;F;1206;12223
2013;1943;M;1262;12225
2016;1965;F;1202;12229
2013;1971;M;1261;12230
1989;1951;F;1009;12231
1996;1946;F;1201;12236
1991;1942;M;1203;12238
2000;1963;M;1205;12239
2000;1975;F;1035;12241
2019;1935;F;1206;12243
1994;1947;M;1053;12250
2000;1956;F;1203;12252
2002;1971;F;1207;12253
1988;1932;F;1201;12255
2013;1971;F;1261;12256
2015;1964;M;1207;12257
2006;1951;F;1203;12262
2012;1972;F;1202;12263
2005;1960;M;1208;12265
2013;1959;F;1261;12266
2004;1958;F;1261;12269
2000;1943;F;1201;12270
2014;1963;F;1261;12273
1999;1965;F;1203;12275
2018;1965;F;1201;12278
2002;1949;F;1207;12279
1994;1937;F;1045;12280
2016;1966;F;1206;12289
2014;1974;M;1262;12299
2013;1955;F;1262;12300
1972;1964;M;1250;12301
2013;1961;M;1261;12304
2003;1969;F;1035;12310
1997;1941;F;1201;12314
1998;1945;M;1203;12318
2013;1962;M;1261;12319
1993;1942;M;1033;12322
2011;1961;M;1205;12335
2016;1979;F;1261;12338
2012;1975;M;1250;12341
2012;1948;M;1251;12343
2016;1973;M;1251;12344
2014;1958;F;1261;12345
2013;1963;F;1261;12348
1988;1943;F;1201;12349
2016;1972;F;1206;12354
1997;1964;F;1201;12355
2003;1965;F;1203;12356
2013;1973;F;1207;12358
2003;1961;F;1038;12359
2008;1958;F;1204;12362
1999;1959;M;1201;12366
2019;1944;M;1252;12369
2006;1952;F;1204;12372
1998;1964;M;1203;12381
2002;1945;F;1204;12388
1991;1935;F;1035;12392
2018;1948;F;1261;12393
2017;1948;F;1251;12399
2010;1937;F;1039;12403
1989;1944;M;1095;12414
1999;1972;F;1203;12415
1993;1969;F;1203;12416
2014;1969;M;1204;12421
2001;1959;M;1203;12422
2015;1983;M;1208;12426
1998;1963;F;1035;12428
2020;1987;F;1205;12431
1998;1965;F;1035;12432
2020;1962;F;1208;12433
2007;1964;F;1208;12436
2016;1989;F;1206;12440
2012;1971;M;1206;12441
2000;1957;F;1021;12444
2009;1983;F;1204;12447
2010;1966;F;1250;12448
2012;1976;F;1207;12455
2003;1969;F;1250;12457
2014;1952;F;1251;12458
1996;1953;M;1201;12462
2021;1992;M;1205;12468
2003;1968;F;1203;12469
1999;1964;F;1040;12470
1995;1965;F;1201;12473
2004;1943;F;1204;12476
2014;1987;M;1202;12477
2000;1973;M;1252;12493
2009;1987;F;1205;12500
2015;1957;M;1261;12501
2003;1950;F;1204;12509
2019;2000;F;1204;12511
2013;1964;M;1262;12512
2012;1961;M;1204;12515
2018;1967;F;1065;12518
1994;1932;M;1204;12519
2015;1996;F;1261;12525
2016;1970;M;1261;12526
2013;1967;F;1262;12530
2008;1944;M;1208;12531
2004;1970;M;1206;12534
2015;1971;F;1207;12536
2020;1958;F;1261;12539
2001;1951;M;1204;12540
1999;1960;M;1203;12546
2003;1953;M;1015;12548
1999;1966;F;1018;12549
2004;1956;M;1204;12550
2016;1977;F;1251;12551
2013;1949;F;1262;12552
2021;1987;F;1201;12554
2014;1966;M;1261;12555
2017;1975;M;1205;12556
2003;1974;F;1208;12557
2001;1976;F;1205;12563
2013;1976;M;1206;12567
1990;1939;F;1018;12568
2015;1980;F;1216;12569
1998;1959;F;1201;12573
1990;1956;M;1201;12575
1999;1937;M;1204;12581
1989;1946;M;1250;12590
2003;1971;F;1035;12596
2017;1944;M;1203;12597
1987;1964;M;1201;12598
2013;1972;F;1261;12599
1993;1952;F;1086;12600
2013;1962;M;1261;12603
2017;1987;F;1208;12608
2012;1951;M;1207;12609
2004;1959;F;1207;12617
2013;1978;M;1216;12624
2013;1968;F;1262;12625
2014;1981;M;1262;12627
1998;1944;F;1201;12635
1996;1960;F;1019;12639
2013;1940;M;1262;12643
2014;1974;F;1206;12644
2017;1937;M;1204;12645
1991;1957;F;1201;12653
2005;1960;M;1310;12655
2013;1949;F;1261;12657
2021;1967;M;1206;12658
2017;1955;F;1204;12671
2014;1984;F;1251;12674
1996;1958;F;1018;12675
1999;1940;M;1203;12677
2019;1974;M;1262;12680
2015;1987;F;1022;12686
2018;1973;F;1203;12687
2004;1945;M;1202;12693
2013;1972;F;1206;12695
1999;1953;F;1042;12701
2008;1968;M;1203;12703
2007;1954;M;1207;12704
2018;1960;M;1207;12714
2019;1947;M;1206;12716
2003;1963;F;1203;12718
2018;1986;F;1206;12719
2014;1970;F;1262;12723
2017;1984;F;1201;12724
1994;1973;F;1203;12732
2009;1942;M;1205;12737
2004;1968;M;1204;12740
2017;1981;F;1202;12742
1998;1949;F;1201;12743
2002;1968;M;1018;12746
1999;1963;F;1201;12749
1997;1937;M;1201;12751
2017;1964;F;1261;12760
1997;1958;F;1201;12764
2007;1955;F;1252;12766
2019;1976;M;1208;12769
1999;1948;F;1201;12774
2021;1984;F;1206;12776
2008;1945;M;1208;12779
2013;1952;M;1261;12782
1993;1963;M;1252;12785
2000;1942;M;1204;12786
2017;1949;F;1094;12792
1999;1942;F;1203;12802
1997;1957;M;1204;12803
2000;1949;M;1203;12804
2002;1969;F;1201;12806
1997;1927;M;1201;12807
2003;1949;F;1207;12808
1999;1934;M;1201;12810
2015;1986;F;1206;12811
2015;1992;M;1251;12812
2010;1985;F;1202;12817
1997;1967;F;1018;12820
2007;1971;M;1216;12821
2013;1968;M;1261;12824
2002;1976;M;1018;12825
2008;1977;M;1250;12828
2013;1947;F;1261;12838
1997;1954;F;1203;12841
2018;1952;F;1208;12842
1999;1944;M;1201;12843
2019;1947;M;1250;12851
2013;1959;F;1262;12854
2011;1947;F;1018;12855
1994;1964;F;1203;12857
2002;1960;F;1203;12858
1979;1938;M;1201;12865
1998;1955;F;1201;12866
2013;1967;F;1261;12868
2008;1970;M;1216;12872
2006;1974;F;1202;12878
2020;1968;M;1042;12881
1987;1945;M;1216;12883
2021;1983;M;1206;12888
1986;1951;F;1216;12889
2013;1938;F;1261;12890
2011;1952;F;1207;12891
2014;1947;F;1018;12892
2016;1974;F;1206;12896
2011;1953;M;1250;12897
2010;1942;M;1208;12899
1999;1955;M;1205;12901
2001;1952;M;1203;12902
2018;1980;F;1205;12908
2007;1985;M;1018;12909
1996;1962;F;1095;12912
2013;1976;F;1206;12919
1988;1936;M;1216;12929
2002;1942;M;1203;12931
2013;1934;F;1261;12933
1987;1952;F;1252;12941
1999;1961;M;1095;12943
2002;1971;F;1205;12945
2017;1982;M;1206;12946
2013;1950;M;1250;12954
1988;1962;F;1206;12955
2019;1971;M;1252;12960
1995;1954;F;1095;12963
2019;1945;F;1251;12965
2017;1975;F;1261;12966
1999;1958;M;1203;12967
1999;1966;F;1203;12970
2014;1959;M;1262;12974
2013;1960;F;1262;12977
2003;1976;F;1216;12979
2021;1983;F;1206;12981
2013;1975;F;1261;12983
1994;1969;F;1216;12992
2018;1985;M;1251;12993
2013;1938;F;1204;12995
1990;1943;F;1201;12996
2010;1972;M;1216;13001
1998;1948;F;1203;13005
2013;1975;F;1261;13017
2019;1984;F;1204;13018
1990;1963;M;1205;13019
2001;1947;F;1202;13030
2016;1973;M;1261;24365
2002;1953;F;1207;24367
2013;1948;M;1261;24373
2004;1976;F;1208;24379
2001;1967;F;1203;24381
1989;1966;F;1201;24383
2014;1965;F;1250;24385
2016;1954;F;1042;24387
2018;1961;M;1207;24390
2013;1970;F;1262;24392
2021;1981;M;1251;24393
2013;1978;F;1262;24394
2007;1974;F;1201;24395
2021;1955;F;1203;24397
1989;1940;M;1053;24400
2015;1960;F;1250;24401
2014;1956;F;1207;24404
2017;1959;F;1262;24406
2013;1949;F;1261;24407
1990;1962;M;1203;24409
2013;1961;M;1261;24418
2021;1996;M;1250;24419
1998;1944;M;1021;24423
2018;1955;M;1251;24426
2000;1953;M;1203;24427
1998;1937;M;1202;24428
2013;1951;F;1201;24430
1994;1968;F;1201;24433
2019;1983;F;1250;24438
1999;1971;F;1201;24441
1996;1966;M;1216;24443
2006;1964;F;1250;24447
2014;1981;F;1261;24448
2013;1968;F;1261;24450
2020;1994;F;1208;24453
2013;1982;F;1203;24454
2013;1957;F;1261;24459
2015;1948;M;1041;24461
2008;1934;M;1206;24462
2021;1979;F;1202;24464
2002;1971;M;1038;24468
1972;1959;F;1203;24469
1993;1926;F;1208;24472
2000;1940;M;1018;24474
2002;1969;M;1252;24476
2017;1958;M;1201;24477
1980;1937;F;1015;24478
2009;1957;F;1250;24480
2013;1953;F;1262;24481
1999;1956;F;1203;24484
1990;1960;M;1207;24485
1993;1956;F;1053;24486
2005;1978;M;1042;24488
2005;1968;F;1216;24493
2016;1973;F;1262;24497
2016;1976;M;1261;24499
1999;1969;F;1202;24503
2014;1949;F;1262;24504
1999;1971;M;1201;24505
1988;1936;F;1201;24506
2004;1964;F;1207;24516
2001;1939;M;1206;24524
2016;1989;M;1251;24530
2013;1949;F;1261;24531
2000;1957;F;1205;24532
2018;1951;F;1261;24537
2003;1945;F;1207;24539
2004;1962;M;1039;24541
1996;1943;M;1009;24543
2012;1957;M;1206;24545
2006;1974;F;1216;24546
1997;1963;F;1201;24547
2012;1984;F;1203;24549
1997;1961;M;1201;24550
2021;1991;F;1203;24561
2013;1969;M;1261;24563
2016;1973;F;1250;24566
1996;1953;M;1250;24568
2002;1972;F;1204;24569
1998;1947;F;1201;24575
2008;1952;F;1250;24577
2014;1960;M;1204;24580
2010;1975;M;1201;24581
2002;1963;F;1018;24584
1998;1959;F;1009;24586
1998;1967;M;1204;24587
2018;1957;M;1261;24588
2020;1937;F;1157;24589
2010;1984;F;1204;24591
2013;1969;F;1204;24599
2008;1963;F;1252;24600
1997;1943;M;1201;24605
2012;1979;F;1206;24613
2013;1963;F;1261;24615
2017;1978;F;1207;24616
1999;1969;M;1054;24618
2013;1948;F;1262;24621
2015;1977;F;1261;24623
2015;1959;M;1262;24631
1995;1937;F;1201;24633
2021;1977;M;1203;24637
2019;1991;F;1203;24638
1993;1960;F;1201;24639
2002;1962;F;1033;24644
2017;1951;F;1206;24647
2016;1966;F;1251;24651
2019;1995;M;1202;24653
2019;1969;M;1261;24654
2020;1958;M;1261;24655
2017;1966;M;1202;24661
1988;1936;F;1201;24662
2017;1956;F;1261;24663
2002;1968;F;1018;24664
2016;1998;M;1252;24665
2013;1971;M;1261;24668
2000;1961;M;1203;24671
1999;1964;F;1252;24679
2018;1974;F;1025;24681
2000;1972;F;1203;24682
2014;1975;F;1262;24687
2014;1957;F;1262;24688
2019;1994;F;1261;24689
2000;1961;F;1205;24690
2020;1945;M;1216;24692
2001;1932;M;1208;24696
2017;1979;M;1261;24702
2009;1975;M;1204;24704
2001;1957;M;1252;24707
2020;1957;M;1262;24714
2003;1960;F;1205;24722
2019;1994;F;1206;24724
2017;1974;F;1205;24728
2002;1948;F;1201;24730
2014;1970;F;1262;24731
2020;1971;M;1205;24735
2016;1992;F;1251;24736
2002;1974;M;1201;24739
2020;1970;F;1262;24740
1998;1968;M;1203;24743
2013;1957;F;1261;24746
2013;1954;M;1207;24747
2014;1949;M;1262;24748
1997;1954;M;1252;24751
1997;1967;M;1252;24752
2007;1938;M;1250;24754
1997;1971;F;1018;24757
2008;1965;F;1095;24766
1993;1955;F;1045;24767
1998;1977;F;1204;24774
2016;1990;F;1202;24775
1984;1938;M;1201;24777
2002;1946;M;1207;24779
2016;1974;M;1204;24781
1988;1968;F;1201;24782
2013;1951;M;1261;24783
2019;1983;F;1206;24785
2002;1982;M;1203;24789
2016;1980;F;1204;24794
2013;1964;F;1261;24804
1986;1957;F;1203;24805
2002;1964;F;1207;24807
1972;1939;M;1203;24812
2006;1961;F;1216;24813
2014;1956;M;1203;24816
2013;1982;M;1261;24821
1999;1958;M;1208;24823
1999;1968;F;1205;24826
1999;1979;F;1205;24827
2018;1960;F;1261;24829
2016;1993;F;1045;24830
2016;1989;F;1203;24831
2010;1971;F;1250;24832
1999;1965;M;1204;24835
2014;1978;F;1261;24837
2017;1990;F;1035;24841
1999;1966;M;1203;24842
2002;1965;F;1204;24843
2011;1944;F;1252;24847
1999;1957;M;1203;24849
2015;1972;M;1216;24851
2013;1970;F;1261;24852
1999;1943;M;1201;24854
2014;1987;F;1252;24856
2018;1979;M;1204;24857
2012;1947;M;1208;24860
2017;1984;F;1029;24862
2002;1958;M;1261;24866
1996;1956;M;1201;24867
1999;1971;F;1203;24873
2015;1965;F;1204;24874
1986;1963;F;1204;24875
2012;1977;F;1205;24878
2018;1970;F;1208;24880
2005;1938;M;1216;24881
2015;1961;F;1252;24882
2002;1978;F;1207;24885
2006;1982;F;1201;24894
2019;1989;F;1250;24896
2021;1989;F;1201;24897
2002;1954;F;1207;24898
2014;1981;F;1261;24899
1999;1942;M;1205;24901
2018;1955;F;1202;24903
2015;1984;F;1206;24905
2000;1958;F;1204;24906
2014;1980;M;1250;24907
2000;1949;M;1203;24908
2015;1984;F;1207;24912
2004;1947;M;1207;24917
1995;1945;M;1201;24918
2008;1963;M;1216;24921
2006;1949;M;1261;24925
2018;1990;F;1261;24926
2003;1976;F;1203;24928
2003;1948;F;1204;24930
2005;1962;F;1216;24935
1985;1963;M;1208;24938
2000;1975;F;1201;24940
2020;1954;M;1203;24942
2004;1969;M;1202;24944
2013;1949;M;1207;24948
2021;2001;M;1204;24952
2015;1963;M;1206;24953
2015;1980;F;1262;24957
1997;1953;M;1202;24966
2021;1955;M;1261;24967
2002;1972;F;1021;24968
2018;1951;M;1201;24969
2013;1963;F;1261;24971
2000;1948;F;1202;24972
2012;1951;F;1203;24977
2002;1949;M;1204;24981
2002;1944;M;1206;24987
1998;1949;M;1202;24988
2013;1960;M;1262;24989
2016;1977;F;1261;24992
2006;1953;M;1018;24999
2013;1982;F;1262;25000
1999;1960;M;1208;2
2020;1961;F;1165;7
2020;1961;F;1047;8
2012;1967;F;1042;9
2020;1956;F;1162;10
1999;1934;M;1041;12
1997;1963;F;1028;13
2003;1943;M;1202;15
1997;1948;F;1066;17
2008;1952;M;1054;18
2018;1946;M;1043;19
1998;1942;F;1045;21
2008;1957;M;1042;24
2019;1973;F;1009;27
2013;1969;F;1074;28
2021;1948;M;1065;31
2020;1969;M;1047;32
2007;1952;M;1073;33
1993;1964;F;1035;34
2016;1981;M;1251;41
2000;1945;F;1094;42
2021;1937;M;1171;44
1987;1956;M;1037;47
2021;1961;M;1158;48
1994;1950;M;1202;52
2021;1936;M;1065;53
2013;1959;F;1021;57
2020;1936;F;1180;67
2020;1955;F;1187;68
2020;1949;F;1169;70
2000;1963;F;1033;71
2020;1954;F;1186;72
2003;1955;M;1073;77
2006;1941;F;1066;78
2020;1957;F;1179;81
1999;1952;F;1033;83
2020;1948;F;1174;85
2008;1959;M;1208;86
1999;1942;F;1028;89
1997;1944;F;1035;90
2015;1990;F;1208;94
1993;1944;F;1018;96
2021;1965;M;1044;98
2018;1963;F;1065;99
1994;1965;F;1039;101
2019;1953;F;1208;104
1999;1978;M;1208;105
2020;1975;F;1044;108
2021;1968;F;1033;109
1992;1944;F;1033;112
2008;1955;F;1054;113
2001;1949;F;1206;116
2013;1968;F;1059;117
2019;1951;M;1066;118
1997;1974;M;1071;122
1995;1959;F;1035;123
2018;1950;M;1043;126
2013;1951;M;1261;127
1986;1940;F;1021;128
1997;1976;F;1022;129
1986;1956;F;1058;130
2020;1951;F;1047;131
2015;1978;M;1028;136
2021;1959;M;1054;143
1983;1935;F;1021;146
2004;1949;F;1042;147
2021;1956;F;1045;148
1972;1944;F;1095;149
2020;1970;F;1178;151
2014;1971;F;1250;152
2020;1953;F;1158;153
1996;1952;M;1019;155
2020;1968;F;1178;156
2021;1956;M;1174;159
2003;1946;F;1053;164
2012;1960;M;1250;165
2020;1950;F;1177;166
2001;1982;M;1071;174
2016;1973;F;1037;175
